account_id,customer_id,account_type,branch_name,balance,account_status
100001,1,Savings,Mumbai Main,14187,Blocked
100002,2,Current,Pune Central,23374,Active
100003,3,Salary,Nashik City,32561,Active
100004,4,Savings,Nagpur Main,41748,Active
100005,5,Current,Nanded Branch,50935,Active
100006,6,Salary,Aurangabad Main,60122,Active
100007,7,Savings,Latur Branch,69309,Active
100008,8,Current,Solapur Main,78496,Active
100009,9,Salary,Mumbai Main,87683,Active
100010,10,Savings,Pune Central,96870,Active
100011,11,Current,Nashik City,106057,Active
100012,12,Salary,Nagpur Main,115244,Active
100013,13,Savings,Nanded Branch,124431,Active
100014,14,Current,Aurangabad Main,133618,Active
100015,15,Salary,Latur Branch,142805,Active
100016,16,Savings,Solapur Main,151992,Inactive
100017,17,Current,Mumbai Main,161179,Active
100018,18,Salary,Pune Central,170366,Active
100019,19,Savings,Nashik City,179553,Active
100020,20,Current,Nagpur Main,188740,Active
100021,21,Salary,Nanded Branch,197927,Blocked
100022,22,Savings,Aurangabad Main,207114,Active
100023,23,Current,Latur Branch,216301,Active
100024,24,Salary,Solapur Main,225488,Active
100025,25,Savings,Mumbai Main,234675,Active
100026,26,Current,Pune Central,243862,Active
100027,27,Salary,Nashik City,253049,Active
100028,28,Savings,Nagpur Main,262236,Active
100029,29,Current,Nanded Branch,271423,Active
100030,30,Salary,Aurangabad Main,280610,Active
100031,31,Savings,Latur Branch,289797,Inactive
100032,32,Current,Solapur Main,298984,Active
100033,33,Salary,Mumbai Main,308171,Active
100034,34,Savings,Pune Central,317358,Active
100035,35,Current,Nashik City,326545,Active
100036,36,Salary,Nagpur Main,335732,Active
100037,37,Savings,Nanded Branch,344919,Active
100038,38,Current,Aurangabad Main,354106,Active
100039,39,Salary,Latur Branch,363293,Active
100040,40,Savings,Solapur Main,372480,Active
100041,41,Current,Mumbai Main,381667,Blocked
100042,42,Salary,Pune Central,390854,Active
100043,43,Savings,Nashik City,400041,Active
100044,44,Current,Nagpur Main,409228,Active
100045,45,Salary,Nanded Branch,418415,Active
100046,46,Savings,Aurangabad Main,427602,Inactive
100047,47,Current,Latur Branch,436789,Active
100048,48,Salary,Solapur Main,445976,Active
100049,49,Savings,Mumbai Main,455163,Active
100050,50,Current,Pune Central,464350,Active
100051,51,Salary,Nashik City,473537,Active
100052,52,Savings,Nagpur Main,482724,Active
100053,53,Current,Nanded Branch,491911,Active
100054,54,Salary,Aurangabad Main,6098,Active
100055,55,Savings,Latur Branch,15285,Active
100056,56,Current,Solapur Main,24472,Active
100057,57,Salary,Mumbai Main,33659,Active
100058,58,Savings,Pune Central,42846,Active
100059,59,Current,Nashik City,52033,Active
100060,60,Salary,Nagpur Main,61220,Active
100061,61,Savings,Nanded Branch,70407,Blocked
100062,62,Current,Aurangabad Main,79594,Active
100063,63,Salary,Latur Branch,88781,Active
100064,64,Savings,Solapur Main,97968,Active
100065,65,Current,Mumbai Main,107155,Active
100066,66,Salary,Pune Central,116342,Active
100067,67,Savings,Nashik City,125529,Active
100068,68,Current,Nagpur Main,134716,Active
100069,69,Salary,Nanded Branch,143903,Active
100070,70,Savings,Aurangabad Main,153090,Active
100071,71,Current,Latur Branch,162277,Active
100072,72,Salary,Solapur Main,171464,Active
100073,73,Savings,Mumbai Main,180651,Active
100074,74,Current,Pune Central,189838,Active
100075,75,Salary,Nashik City,199025,Active
100076,76,Savings,Nagpur Main,208212,Inactive
100077,77,Current,Nanded Branch,217399,Active
100078,78,Salary,Aurangabad Main,226586,Active
100079,79,Savings,Latur Branch,235773,Active
100080,80,Current,Solapur Main,244960,Active
100081,81,Salary,Mumbai Main,254147,Blocked
100082,82,Savings,Pune Central,263334,Active
100083,83,Current,Nashik City,272521,Active
100084,84,Salary,Nagpur Main,281708,Active
100085,85,Savings,Nanded Branch,290895,Active
100086,86,Current,Aurangabad Main,300082,Active
100087,87,Salary,Latur Branch,309269,Active
100088,88,Savings,Solapur Main,318456,Active
100089,89,Current,Mumbai Main,327643,Active
100090,90,Salary,Pune Central,336830,Active
100091,91,Savings,Nashik City,346017,Inactive
100092,92,Current,Nagpur Main,355204,Active
100093,93,Salary,Nanded Branch,364391,Active
100094,94,Savings,Aurangabad Main,373578,Active
100095,95,Current,Latur Branch,382765,Active
100096,96,Salary,Solapur Main,391952,Active
100097,97,Savings,Mumbai Main,401139,Active
100098,98,Current,Pune Central,410326,Active
100099,99,Salary,Nashik City,419513,Active
100100,100,Savings,Nagpur Main,428700,Active
100101,101,Current,Nanded Branch,437887,Blocked
100102,102,Salary,Aurangabad Main,447074,Active
100103,103,Savings,Latur Branch,456261,Active
100104,104,Current,Solapur Main,465448,Active
100105,105,Salary,Mumbai Main,474635,Active
100106,106,Savings,Pune Central,483822,Inactive
100107,107,Current,Nashik City,493009,Active
100108,108,Salary,Nagpur Main,7196,Active
100109,109,Savings,Nanded Branch,16383,Active
100110,110,Current,Aurangabad Main,25570,Active
100111,111,Salary,Latur Branch,34757,Active
100112,112,Savings,Solapur Main,43944,Active
100113,113,Current,Mumbai Main,53131,Active
100114,114,Salary,Pune Central,62318,Active
100115,115,Savings,Nashik City,71505,Active
100116,116,Current,Nagpur Main,80692,Active
100117,117,Salary,Nanded Branch,89879,Active
100118,118,Savings,Aurangabad Main,99066,Active
100119,119,Current,Latur Branch,108253,Active
100120,120,Salary,Solapur Main,117440,Active
100121,121,Savings,Mumbai Main,126627,Blocked
100122,122,Current,Pune Central,135814,Active
100123,123,Salary,Nashik City,145001,Active
100124,124,Savings,Nagpur Main,154188,Active
100125,125,Current,Nanded Branch,163375,Active
100126,126,Salary,Aurangabad Main,172562,Active
100127,127,Savings,Latur Branch,181749,Active
100128,128,Current,Solapur Main,190936,Active
100129,129,Salary,Mumbai Main,200123,Active
100130,130,Savings,Pune Central,209310,Active
100131,131,Current,Nashik City,218497,Active
100132,132,Salary,Nagpur Main,227684,Active
100133,133,Savings,Nanded Branch,236871,Active
100134,134,Current,Aurangabad Main,246058,Active
100135,135,Salary,Latur Branch,255245,Active
100136,136,Savings,Solapur Main,264432,Inactive
100137,137,Current,Mumbai Main,273619,Active
100138,138,Salary,Pune Central,282806,Active
100139,139,Savings,Nashik City,291993,Active
100140,140,Current,Nagpur Main,301180,Active
100141,141,Salary,Nanded Branch,310367,Blocked
100142,142,Savings,Aurangabad Main,319554,Active
100143,143,Current,Latur Branch,328741,Active
100144,144,Salary,Solapur Main,337928,Active
100145,145,Savings,Mumbai Main,347115,Active
100146,146,Current,Pune Central,356302,Active
100147,147,Salary,Nashik City,365489,Active
100148,148,Savings,Nagpur Main,374676,Active
100149,149,Current,Nanded Branch,383863,Active
100150,150,Salary,Aurangabad Main,393050,Active
100151,151,Savings,Latur Branch,402237,Inactive
100152,152,Current,Solapur Main,411424,Active
100153,153,Salary,Mumbai Main,420611,Active
100154,154,Savings,Pune Central,429798,Active
100155,155,Current,Nashik City,438985,Active
100156,156,Salary,Nagpur Main,448172,Active
100157,157,Savings,Nanded Branch,457359,Active
100158,158,Current,Aurangabad Main,466546,Active
100159,159,Salary,Latur Branch,475733,Active
100160,160,Savings,Solapur Main,484920,Active
100161,161,Current,Mumbai Main,494107,Blocked
100162,162,Salary,Pune Central,8294,Active
100163,163,Savings,Nashik City,17481,Active
100164,164,Current,Nagpur Main,26668,Active
100165,165,Salary,Nanded Branch,35855,Active
100166,166,Savings,Aurangabad Main,45042,Inactive
100167,167,Current,Latur Branch,54229,Active
100168,168,Salary,Solapur Main,63416,Active
100169,169,Savings,Mumbai Main,72603,Active
100170,170,Current,Pune Central,81790,Active
100171,171,Salary,Nashik City,90977,Active
100172,172,Savings,Nagpur Main,100164,Active
100173,173,Current,Nanded Branch,109351,Active
100174,174,Salary,Aurangabad Main,118538,Active
100175,175,Savings,Latur Branch,127725,Active
100176,176,Current,Solapur Main,136912,Active
100177,177,Salary,Mumbai Main,146099,Active
100178,178,Savings,Pune Central,155286,Active
100179,179,Current,Nashik City,164473,Active
100180,180,Salary,Nagpur Main,173660,Active
100181,181,Savings,Nanded Branch,182847,Blocked
