location_id,city,state,country,latitude,longitude
1,Mumbai,Maharashtra,India,17.0,73.0
2,Pune,Gujarat,India,17.037,73.053
3,Nashik,Karnataka,India,17.074,73.106
4,Nagpur,Delhi,India,17.111,73.159
5,Aurangabad,Telangana,India,17.148,73.212
6,Nanded,Maharashtra,India,17.185,73.265
7,Parbhani,Gujarat,India,17.222,73.318
8,Latur,Karnataka,India,17.259,73.371
9,Kolhapur,Delhi,India,17.296,73.424
10,Solapur,Telangana,India,17.333,73.477
11,Mumbai,Maharashtra,India,17.37,73.53
12,Pune,Gujarat,India,17.407,73.583
13,Nashik,Karnataka,India,17.444,73.636
14,Nagpur,Delhi,India,17.481,73.689
15,Aurangabad,Telangana,India,17.518,73.742
16,Nanded,Maharashtra,India,17.555,73.795
17,Parbhani,Gujarat,India,17.592,73.848
18,Latur,Karnataka,India,17.629,73.901
19,Kolhapur,Delhi,India,17.666,73.954
20,Solapur,Telangana,India,17.703,73.007
21,Mumbai,Maharashtra,India,17.74,73.06
22,Pune,Gujarat,India,17.777,73.113
23,Nashik,Karnataka,India,17.814,73.166
24,Nagpur,Delhi,India,17.851,73.219
25,Aurangabad,Telangana,India,17.888,73.272
26,Nanded,Maharashtra,India,17.925,73.325
27,Parbhani,Gujarat,India,17.962,73.378
28,Latur,Karnataka,India,17.999,73.431
29,Kolhapur,Delhi,India,17.036,73.484
30,Solapur,Telangana,India,17.073,73.537
31,Mumbai,Maharashtra,India,17.11,73.59
32,Pune,Gujarat,India,17.147,73.643
33,Nashik,Karnataka,India,17.184,73.696
34,Nagpur,Delhi,India,17.221,73.749
35,Aurangabad,Telangana,India,17.258,73.802
36,Nanded,Maharashtra,India,17.295,73.855
37,Parbhani,Gujarat,India,17.332,73.908
38,Latur,Karnataka,India,17.369,73.961
39,Kolhapur,Delhi,India,17.406,73.014
40,Solapur,Telangana,India,17.443,73.067
41,Mumbai,Maharashtra,India,17.48,73.12
42,Pune,Gujarat,India,17.517,73.173
43,Nashik,Karnataka,India,17.554,73.226
44,Nagpur,Delhi,India,17.591,73.279
45,Aurangabad,Telangana,India,17.628,73.332
46,Nanded,Maharashtra,India,17.665,73.385
47,Parbhani,Gujarat,India,17.702,73.438
48,Latur,Karnataka,India,17.739,73.491
49,Kolhapur,Delhi,India,17.776,73.544
50,Solapur,Telangana,India,17.813,73.597
