transaction_id,account_id,transaction_date,transaction_type,amount,location_id,merchant_name,payment_method,transaction_status
500001,100017,2026-01-06 11:59:00,UPI,5931.01,14,Amazon,UPI,Success
500002,100034,2026-01-11 23:58:00,Card Payment,11762.02,27,Flipkart,Debit Card,Success
500003,100051,2026-01-17 11:57:00,ATM Withdrawal,17593.03,40,Swiggy,Credit Card,Success
500004,100068,2026-01-22 23:56:00,Online Transfer,23424.04,3,Zomato,Net Banking,Success
500005,100085,2026-01-28 11:55:00,Cash Withdrawal,29255.05,16,Myntra,ATM,Success
500006,100102,2026-02-02 23:54:00,Deposit,35086.06,29,Uber,UPI,Success
500007,100119,2026-02-08 11:53:00,UPI,40917.07,42,IRCTC,Debit Card,Success
500008,100136,2026-02-13 23:52:00,Card Payment,46748.08,5,Reliance,Credit Card,Success
500009,100153,2026-02-19 11:51:00,ATM Withdrawal,2679.09,18,DMart,Net Banking,Success
500010,100170,2026-02-24 23:50:00,Online Transfer,8510.1,31,Netflix,ATM,Success
500011,100187,2026-03-02 11:49:00,Cash Withdrawal,14341.11,44,PhonePe,UPI,Success
500012,100204,2026-03-07 23:48:00,Deposit,20172.12,7,Google Pay,Debit Card,Success
500013,100221,2026-03-13 11:47:00,UPI,26003.13,20,Amazon,Credit Card,Success
500014,100238,2026-03-18 23:46:00,Card Payment,31834.14,33,Flipkart,Net Banking,Success
500015,100255,2026-03-24 11:45:00,ATM Withdrawal,37665.15,46,Swiggy,ATM,Success
500016,100272,2026-03-29 23:44:00,Online Transfer,43496.16,9,Zomato,UPI,Success
500017,100289,2026-04-04 11:43:00,Cash Withdrawal,49327.17,22,Myntra,Debit Card,Success
500018,100306,2026-04-09 23:42:00,Deposit,5258.18,35,Uber,Credit Card,Success
500019,100323,2026-04-15 11:41:00,UPI,11089.19,48,IRCTC,Net Banking,Success
500020,100340,2026-04-20 23:40:00,Card Payment,16920.2,11,Reliance,ATM,Success
500021,100357,2026-04-26 11:39:00,ATM Withdrawal,22751.21,24,DMart,UPI,Success
500022,100374,2026-05-01 23:38:00,Online Transfer,28582.22,37,Netflix,Debit Card,Success
500023,100391,2026-05-07 11:37:00,Cash Withdrawal,34413.23,50,PhonePe,Credit Card,Success
500024,100408,2026-05-12 23:36:00,Deposit,40244.24,13,Google Pay,Net Banking,Success
500025,100425,2026-05-18 11:35:00,UPI,46075.25,26,Amazon,ATM,Success
500026,100442,2026-05-23 23:34:00,Card Payment,2006.26,39,Flipkart,UPI,Success
500027,100459,2026-05-29 11:33:00,ATM Withdrawal,7837.27,2,Swiggy,Debit Card,Success
500028,100476,2026-06-03 23:32:00,Online Transfer,13668.28,15,Zomato,Credit Card,Success
500029,100493,2026-06-09 11:31:00,Cash Withdrawal,19499.29,28,Myntra,Net Banking,Success
500030,100510,2026-06-14 23:30:00,Deposit,25330.3,41,Uber,ATM,Success
500031,100527,2026-06-20 11:29:00,UPI,31161.31,4,IRCTC,UPI,Success
500032,100544,2026-06-25 23:28:00,Card Payment,36992.32,17,Reliance,Debit Card,Success
500033,100561,2026-07-01 11:27:00,ATM Withdrawal,42823.33,30,DMart,Credit Card,Success
500034,100578,2026-07-06 23:26:00,Online Transfer,48654.34,43,Netflix,Net Banking,Success
500035,100595,2026-07-12 11:25:00,Cash Withdrawal,4585.35,6,PhonePe,ATM,Success
500036,100612,2026-07-17 23:24:00,Deposit,10416.36,19,Google Pay,UPI,Success
500037,100629,2026-07-23 11:23:00,UPI,16247.37,32,Amazon,Debit Card,Success
500038,100646,2026-07-28 23:22:00,Card Payment,22078.38,45,Flipkart,Credit Card,Success
500039,100663,2026-08-03 11:21:00,ATM Withdrawal,27909.39,8,Swiggy,Net Banking,Success
